
[Timestamp: 2024-07-24_23:14:51, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=110, Proxy Used: http://154.13.93.147:8494, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:51, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=36, Proxy Used: http://45.251.62.86:5163, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:51, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=113, Proxy Used: http://154.13.93.147:8494, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:52, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=116, Proxy Used: http://154.22.135.55:5920, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:53, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=37, Proxy Used: http://166.88.217.65:6398, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:55, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=35, Proxy Used: http://154.55.91.101:6487, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:56, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=34, Proxy Used: http://154.13.93.147:8494, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:57, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=117, Proxy Used: http://154.55.91.101:6487, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:57, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=44, Proxy Used: http://192.95.80.242:5326, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:00, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=45, Proxy Used: http://192.95.80.242:5326, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:00, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=124, Proxy Used: http://104.143.225.168:5175, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:00, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=115, Proxy Used: http://154.13.93.147:8494, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:01, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=46, Proxy Used: http://154.55.91.101:6487, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:01, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=120, Proxy Used: http://154.22.135.55:5920, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:03, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=39, Proxy Used: http://45.56.172.45:5112, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:04, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=123, Proxy Used: http://154.12.101.90:5955, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:04, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=121, Proxy Used: http://154.13.93.147:8494, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:04, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=49, Proxy Used: http://45.251.62.86:5163, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:04, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=50, Proxy Used: http://45.251.62.86:5163, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:06, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=48, Proxy Used: http://104.143.225.168:5175, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:06, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=53, Proxy Used: http://154.22.135.55:5920, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:06, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=52, Proxy Used: http://192.95.80.242:5326, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:06, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=127, Proxy Used: http://166.88.217.65:6398, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:07, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=126, Proxy Used: http://45.251.62.86:5163, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:07, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=125, Proxy Used: http://104.143.225.168:5175, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:08, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=38, Proxy Used: http://154.55.91.101:6487, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:08, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=55, Proxy Used: http://154.13.93.147:8494, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:15:09, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=42, Proxy Used: http://166.88.217.65:6398, Status Code: 200, Comment: Success]
